id,label
1,0
2,0
3,0
4,1
5,1
6,0
7,0
8,1
9,1
10,1
11,1
12,0
13,0
14,1
15,0
16,1
17,1
18,0
19,1
20,0
21,1
22,1
23,0
24,0
25,0
26,1
27,0
28,0
29,1
30,0
31,1
32,0
33,0
34,1
35,0
36,1
37,1
38,1
39,1
40,0
41,0
42,1
43,1
44,0
45,0
46,0
47,1
48,1
49,1
50,1
51,0
52,0
53,0
54,1
55,1
56,1
57,1
58,0
59,0
60,0
61,0
62,0
63,1
64,0
65,0
66,0
67,0
68,0
69,1
70,1
71,0
72,1
73,0
74,1
75,1
76,1
77,0
78,1
79,0
80,0
81,1
82,1
83,0
84,1
85,1
86,0
87,1
88,0
89,0
90,1
91,0
92,1
93,1
94,0
95,1
96,0
97,1
98,0
99,1
100,0
101,0
102,0
103,1
104,0
105,1
106,1
107,0
108,1
109,0
110,1
111,1
112,1
113,1
114,0
115,1
116,0
117,1
118,0
119,0
120,1
121,1
122,0
123,0
124,1
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,1
134,0
135,0
136,1
137,0
138,0
139,0
140,0
141,0
142,1
143,0
144,0
145,1
146,0
147,1
148,0
149,0
150,1
151,0
152,0
153,0
154,1
155,1
156,0
157,1
158,0
159,1
160,0
161,1
162,0
163,1
164,1
165,0
166,1
167,1
168,1
169,0
170,0
171,0
172,0
173,0
174,0
175,1
176,1
177,0
178,0
179,0
180,0
181,1
182,0
183,0
184,1
185,1
186,0
187,1
188,1
189,1
190,0
191,1
192,1
193,0
194,1
195,1
196,1
197,0
198,1
199,1
200,1
201,1
202,1
203,1
204,0
205,0
206,0
207,0
208,1
209,1
210,1
211,0
212,0
213,1
214,1
215,0
216,0
217,0
218,0
219,1
220,1
221,0
222,0
223,0
224,1
225,1
226,1
227,0
228,0
229,1
230,1
231,0
232,0
233,0
234,1
235,0
236,1
237,0
238,0
239,0
240,0
241,1
242,1
243,0
244,1
245,1
246,0
247,0
248,0
249,1
250,1
251,0
252,0
253,0
254,1
255,0
256,0
257,1
258,0
259,0
260,0
261,0
262,1
263,1
264,0
265,0
266,0
267,0
268,1
269,0
270,1
271,0
272,0
273,1
274,1
275,1
276,1
277,0
278,1
279,0
280,1
